carat,cut,color,clarity,price,x,y,z,volume
-1.4696759700589417,2,1,3,5.786897381366708,3.95,3.98,2.43,2.5442763668937243
-1.5606477482646683,3,1,2,5.786897381366708,3.89,3.84,2.31,2.442516760095583
-1.4696759700589417,1,1,4,5.7899601708972535,4.05,4.07,2.31,2.540995116438544
-1.2378743560016174,3,5,5,5.811140992976701,4.2,4.23,2.63,2.745658075869073
-1.171182981502945,1,6,3,5.814130531825066,4.34,4.35,2.75,2.8510388162232765
-1.4271163556401458,4,6,7,5.817111159963204,3.94,3.96,2.48,2.557071020085013
-1.4271163556401458,4,5,6,5.817111159963204,3.95,3.98,2.47,2.560603260181153
-1.3470736479666092,4,4,2,5.820082930352362,4.07,4.11,2.53,2.646673042033966
-1.5141277326297755,0,1,5,5.820082930352362,3.87,3.78,2.49,2.4966489384816937
-1.4696759700589417,4,4,4,5.823045895483019,4.0,4.05,2.39,2.557692319513648
-1.2039728043259361,1,6,2,5.82600010738045,4.25,4.28,2.73,2.8065613130587894
-1.4696759700589417,2,6,4,5.8289456176102075,3.93,3.9,2.46,2.531165040292932
-1.5141277326297755,3,2,2,5.834810737062605,3.88,3.84,2.33,2.448563499144317
-1.171182981502945,2,6,3,5.840641657373398,4.35,4.37,2.71,2.843275200431591
-1.6094379124341003,3,1,3,5.84354441703136,3.79,3.75,2.27,2.3752894019018562
-1.1394342831883648,3,1,0,5.84354441703136,4.38,4.42,2.68,2.850392926332617
-1.2039728043259361,2,5,3,5.8522024797744745,4.31,4.34,2.68,2.8160167580826254
-1.2039728043259361,1,6,2,5.860786223465865,4.23,4.29,2.7,2.793128210340286
-1.2039728043259361,1,6,2,5.860786223465865,4.23,4.26,2.71,2.7898074995629654
-1.2039728043259361,4,6,2,5.860786223465865,4.21,4.27,2.66,2.7687903090603214
-1.2039728043259361,1,5,3,5.860786223465865,4.26,4.3,2.71,2.8062205292042957
-1.4696759700589417,4,1,5,5.863631175598097,3.85,3.92,2.48,2.5238110736108452
-1.4696759700589417,4,4,4,5.8664680569332965,3.94,3.96,2.41,2.5284392074106856
-1.171182981502945,4,6,2,5.8664680569332965,4.39,4.43,2.62,2.83229084024902
-1.171182981502945,4,6,2,5.8664680569332965,4.44,4.47,2.59,2.8410883721129476
-1.4696759700589417,4,3,7,5.869296913133774,3.97,4.01,2.41,2.548571794852031
-1.4271163556401458,3,5,4,5.872117789475416,3.97,3.94,2.47,2.5555526799807176
-1.2039728043259361,4,6,5,5.877735781779639,4.28,4.3,2.67,2.796034216037271
-1.4696759700589417,4,0,5,5.877735781779639,3.96,3.97,2.4,2.5318665686512785
-1.4696759700589417,4,2,4,5.877735781779639,3.96,3.99,2.42,2.545190507668647
-1.4696759700589417,4,2,4,5.996452088619021,4.0,4.03,2.41,2.5610751959129363
